#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Salmonella enterica	CFSAN070316	"CFSAN070316,""DE 111"",""SRS3721838"""		PDT000367935.1	2018-08-29T00:08:50Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774662	GCA_004226405.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=17:d:e,n,z15,serotype=Karlshamn
Salmonella enterica	CFSAN070319	"CFSAN070319,""DE 127"",""SRS3721844"""		PDT000367937.1	2018-08-29T00:08:51Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774954	GCA_005539195.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=30:y:1,5,serotype=Bietri
Salmonella enterica	CFSAN070323	"CFSAN070323,""DE 147"",""SRS3721841"""		PDT000367938.1	2018-08-29T00:08:51Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774666	GCA_005682135.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:e,h:e,n,x,serotype=Chester
Salmonella enterica	CFSAN070322	"CFSAN070322,""DE 143"",""SRS3721845"""		PDT000367941.1	2018-08-29T00:08:51Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036140.1	3.0		SAMN07774667	GCA_005442195.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	CFSAN070302	"CFSAN070302,""DE 37"",""SRS3721850"""		PDT000367946.1	2018-08-29T00:08:52Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036148.1	0.0		SAMN07774663	GCA_003876655.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:l,v:1,7,serotype=Give
Salmonella enterica	CFSAN070317	"CFSAN070317,""DE 121"",""SRS3721851"""		PDT000367948.1	2018-08-29T00:08:53Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036141.1	5.0		SAMN07774957	GCA_005612075.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:g,m,s:-,serotype=Hato
Salmonella enterica	CFSAN070329	"CFSAN070329,""DE 81"",""SRS3721853"""	Oranienburg	PDT000367950.1	2018-08-29T00:08:53Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774648	GCA_003876375.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:m,t:-,serotype=Oranienburg
Salmonella enterica	CFSAN070305	"CFSAN070305,""DE 52"",""SRS3721856"""		PDT000367952.5	2023-01-07T10:47:47Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036155.8	2.0		SAMN07774651	GCA_005525095.4	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=11:a:1,5,serotype=Marseille
Salmonella enterica	CFSAN070298	"CFSAN070298,""DE 15"",""SRS3721857"""		PDT000367953.1	2018-08-29T00:08:54Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774673	GCA_005539135.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9,46:z4,z23:-,serotype=Ekotedo
Salmonella enterica	CFSAN070311	"CFSAN070311,""DE 86"",""SRS3721858"""		PDT000367954.1	2018-08-29T00:08:54Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774660	GCA_004223325.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:r:1,7,serotype=Colindale
Salmonella enterica	CFSAN070310	"CFSAN070310,""DE 78"",""SRS3721860"""		PDT000367956.1	2018-08-29T00:08:54Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036145.4	22.0		SAMN07774658	GCA_005441555.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=11:r:e,n,x,serotype=Rubislaw
Salmonella enterica	CFSAN070334	"CFSAN070334,""DE 88"",""SRS3721862"""	Sundsvall	PDT000367957.1	2018-08-29T00:08:54Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN08172487	GCA_006521335.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=6,14:z:e,n,x,serotype=Sundsvall
Salmonella enterica	CFSAN070304	"CFSAN070304,""DE 47"",""SRS3721871"""		PDT000367964.1	2018-08-29T00:08:55Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036148.1	3.0		SAMN07774664	GCA_005441475.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:l,v:1,7,serotype=Give
Salmonella enterica	CFSAN070301	"CFSAN070301,""DE 27"",""SRS3721870"""		PDT000367965.1	2018-08-29T00:08:55Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036142.2	0.0		SAMN07774670	GCA_005612135.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:e,h:1,5,serotype=Eastbourne
Salmonella enterica	CFSAN070306	"CFSAN070306,""DE 58"",""SRS3721872"""		PDT000367966.1	2018-08-29T00:08:55Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774643	GCA_005441715.1	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:b:1,5,serotype=Butantan
Salmonella enterica	CFSAN070308	"CFSAN070308,""DE 69"",""SRS3721873"""		PDT000367967.1	2018-08-29T00:08:56Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036144.1	4.0		SAMN07774649	GCA_005761835.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9,46:z4,z23:-,serotype=Ekotedo
Salmonella enterica	CFSAN070300	"CFSAN070300,""DE 20"",""SRS3721891"""		PDT000367968.1	2018-08-29T00:08:56Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000117586.1			SAMN07774671	GCA_005525075.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:r:1,7,serotype=Colindale
Salmonella enterica	CFSAN070325	"CFSAN070325,""DE 30"",""SRS3721895"""	44:z4,z23:-	PDT000367970.1	2018-08-29T00:08:56Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000095889.1	12.0		SAMN07774652	GCA_006521315.1	fosA7=COMPLETE	antigen_formula=44:z4,z23:-,serotype=Kua
Salmonella enterica	CFSAN070314	"CFSAN070314,""DE 98"",""SRS3721894"""		PDT000367971.1	2018-08-29T00:08:56Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774661	GCA_005441395.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=41:z38:-,serotype=Offa
Salmonella enterica	CFSAN070312	"CFSAN070312,""DE 95"",""SRS3721896"""		PDT000367972.1	2018-08-29T00:08:56Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774672	GCA_005539165.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	CFSAN070331	"CFSAN070331,""DE 114"",""SRS3721897"""	Worthington	PDT000367973.2	2019-06-04T16:54:27Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774653	GCA_003876555.2	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:z:l,w,serotype=Worthington
Salmonella enterica	CFSAN070297	"CFSAN070297,""DE 1"",""SRS3721898"""		PDT000367974.1	2018-08-29T00:08:57Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774959	GCA_005682035.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	CFSAN070330	"CFSAN070330,""DE 102"",""SRS3721900"""	Livingstone	PDT000367976.1	2018-08-29T00:08:57Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774656	GCA_003876625.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:d:l,w,serotype=Livingstone
Salmonella enterica	CFSAN070307	"CFSAN070307,""DE 60"",""SRS3721901"""		PDT000367977.1	2018-08-29T00:08:57Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774645	GCA_005612095.1	fosA7.6=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:d:e,n,z15,serotype=Telelkebir
Salmonella enterica	CFSAN070324	"CFSAN070324,""DE 148"",""SRS3721902"""		PDT000367978.1	2018-08-29T00:08:57Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774669	GCA_005612115.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=43:z:1,5,serotype=Ogbete
Salmonella enterica	CFSAN070320	"CFSAN070320,""DE 136"",""SRS3721905"""		PDT000367980.1	2018-08-29T00:08:58Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036140.1	3.0		SAMN07774955	GCA_005683135.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	CFSAN070327	"CFSAN070327,""DE 66"",""SRS3721904"""	Derby	PDT000367981.2	2019-06-04T18:53:07Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774646	GCA_006336875.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:f,g:-,serotype=Derby
Salmonella enterica	CFSAN070303	"CFSAN070303,""DE 39"",""SRS3721906"""		PDT000367982.1	2018-08-29T00:08:58Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036148.1	0.0		SAMN07774641	GCA_005539155.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:l,v:1,7,serotype=Give
Salmonella enterica	CFSAN070313	"CFSAN070313,""DE 96"",""SRS3721912"""		PDT000367988.1	2018-08-29T00:08:59Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774657	GCA_005762035.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:g,s,t:-,serotype=Kingston
Salmonella enterica	CFSAN070332	"CFSAN070332,""DE 122"",""SRS3721914"""	Chester	PDT000367990.1	2018-08-29T00:08:59Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774655	GCA_006521375.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:e,h:e,n,x,serotype=Chester
Salmonella enterica	CFSAN070326	"CFSAN070326,""DE 32"",""SRS3721915"""	Muenster	PDT000367991.1	2018-08-29T00:08:59Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774647	GCA_006333025.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:e,h:1,5,serotype=Muenster
Salmonella enterica	CFSAN064269	"CFSAN064269,""ID-98"",""SRS3721918"""		PDT000367994.2	2019-06-04T18:53:07Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000029289.7	3.0		SAMN07135164	GCA_005539215.2	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=4:g,s,t:-,serotype=Kingston
Salmonella enterica	CFSAN070328	"CFSAN070328,""DE 77"",""SRS3721919"""		PDT000367995.1	2018-08-29T00:09:00Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774654	GCA_003874055.1	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:d:-,serotype=I 7:d:-
Salmonella enterica	CFSAN083288	"CFSAN083288,""PR0353_67"",""SRS4096202"""		PDT000412839.1	2018-11-30T18:29:07Z	Nigeria	intestine cattle	environmental/other	PDS000039016.1	0.0		SAMN10504967	GCA_004227505.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,6,serotype=Agama
Salmonella enterica	CFSAN083284	"CFSAN083284,""PR0353_63"",""SRS4096220"""	Typhimurium	PDT000412857.1	2018-11-30T18:29:11Z	Nigeria	intestine cattle	environmental/other	PDS000094421.1		1.0	SAMN10505077	GCA_005999445.1	aac(3)-IId=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,blaOXA-1=COMPLETE,catA1=COMPLETE,dfrA12=COMPLETE,gyrA_S83F=POINT,mph(A)=COMPLETE,parC_S80R=POINT,sul1=COMPLETE,tet(B)=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN070335	"CFSAN070335,""DE 145"",""SRS3721861"""	Marseille	PDT000421860.1	2018-12-20T19:54:59Z	Nigeria	stool (Bos taurus)	environmental/other				SAMN07774956	GCA_010185375.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=11:a:1,5,serotype=Marseille
Salmonella enterica	CFSAN083308	"CFSAN083308,""PR0353_88"",""SRS4849633"""	Nagoya	PDT000510272.1	2019-05-30T23:50:15Z	Nigeria	cattle	environmental/other	PDS000049759.1	0.0		SAMN11896233	GCA_006396515.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:b:1,5,serotype=Korbol or Nagoya
Salmonella enterica	CFSAN083312	"CFSAN083312,""PR0353_93"",""SRS4849634"""		PDT000510277.1	2019-05-31T00:51:21Z	Nigeria	cattle lung	environmental/other	PDS000056250.45	32.0	30.0	SAMN11896236	GCA_006007515.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN083305	"CFSAN083305,""PR0353_85"",""SRS4851057"""	Kentucky	PDT000510627.1	2019-05-31T14:53:21Z	Nigeria	cattle lung	environmental/other	PDS000036147.9	0.0	12.0	SAMN11897921	GCA_006213985.1	gyrA_S83Y=POINT,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:e,h:1,5,serotype=Muenster
Salmonella enterica	CFSAN083304	"CFSAN083304,""PR0353_84"",""SRS4851058"""	Enteritidis	PDT000510628.1	2019-05-31T14:53:21Z	Nigeria	intestine cattle	environmental/other	PDS000121788.57	1.0	1.0	SAMN11897920	GCA_006079855.1	aac(3)-VIa=COMPLETE,aadA1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	CFSAN083298	"CFSAN083298,""PR0353_77"",""SRS5285627"""	Enteritidis	PDT000568625.1	2019-08-20T21:57:53Z	Nigeria	cattle	environmental/other	PDS000046207.2	2.0		SAMN12601402	GCA_008157505.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:r:1,2,serotype=Virchow
Salmonella enterica	MA_43	"Caecal sample,""MA_43"",""SRS11933353"",""Sal_43"""		PDT001256342.1	2022-03-01T14:38:31Z	Nigeria	cattle	environmental/other	PDS000105806.1	2.0		SAMN25752896	GCA_022432985.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:b:e,n,z15,serotype=Wagenia
Salmonella enterica	KFB48	"KFB48,""NMSU-KFB48"",""SRS13753415"""	Ajiobo	PDT001355522.1	2022-07-08T19:37:46Z	Nigeria	beef	environmental/other				SAMN29600177	GCA_024197355.1	fosA7.2=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,mdsB=PARTIAL_END_OF_CONTIG	antigen_formula=13:z4,z23:-,serotype=Ajiobo
Salmonella enterica	KFB44	"KFB44,""NMSU-KFB44"",""SRS13753414"""	Rissen	PDT001355523.1	2022-07-08T19:37:47Z	Nigeria	beef	environmental/other				SAMN29600176	GCA_024197495.1	mdsA=COMPLETE,mdsB=COMPLETE,qnrB19=COMPLETE	antigen_formula=7:f,g:-,serotype=Rissen
Salmonella enterica	KF39	"KF39,""NMSU-KF39"",""SRS13753413"""	Vejle	PDT001355524.1	2022-07-08T19:37:47Z	Nigeria	beef	environmental/other				SAMN29600175	GCA_024197575.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:e,h:1,2,serotype=Vejle
