#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Salmonella enterica	CFSAN031575	"CFSAN031575","ICOPHAI11595","SRS1210912"	Newport	PDT000105403.2	2016-02-05T15:24:47Z	Ethiopia	bovine lymph node	environmental/other	PDS000030876.3	5		SAMN03577108	GCA_008662535.1	mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	CFSAN031558	"CFSAN031558","ICOPHAI11578","SRS1210919"	Kentucky	PDT000105409.2	2016-02-05T15:24:48Z	Ethiopia	chicken carcass	environmental/other	PDS000027970.439	0	15	SAMN03577091	GCA_011618765.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031563	"CFSAN031563","ICOPHAI11583","SRS1210918"	Kentucky	PDT000105410.2	2016-02-05T15:24:48Z	Ethiopia	swine lymph node	environmental/other	PDS000027970.439	0	18	SAMN03577096	GCA_011564425.1	aac(3)-I=PARTIAL_END_OF_CONTIG,aac(3)-Id=COMPLETE,aadA7=COMPLETE,aadA7=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031568	"CFSAN031568","ICOPHAI11588","SRS1210917"	Kentucky	PDT000105411.2	2016-02-05T15:24:48Z	Ethiopia	swine lymph node	environmental/other	PDS000027970.439	0	9	SAMN03577101	GCA_011103755.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aadA7=PARTIAL_END_OF_CONTIG,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031571	"CFSAN031571","ICOPHAI11591","SRS1210916"	Kiambu	PDT000105412.2	2016-02-05T15:24:48Z	Ethiopia	swine lymph node	environmental/other				SAMN03577104	GCA_011421095.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=4:z:1,5,serotype=Kiambu
Salmonella enterica	CFSAN031566	"CFSAN031566","ICOPHAI11586","SRS1210936"	Kentucky	PDT000105413.2	2016-02-05T15:24:48Z	Ethiopia	swine caecum	environmental/other	PDS000027970.439	0	9	SAMN03577099	GCA_010975595.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031561	"CFSAN031561","ICOPHAI11581","SRS1210935"	Kentucky	PDT000105414.2	2016-02-05T15:24:48Z	Ethiopia	swine lymph node	environmental/other	PDS000027970.439	2	20	SAMN03577094	GCA_011542475.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031556	"CFSAN031556","ICOPHAI11576","SRS1210934"	Kentucky	PDT000105415.2	2016-02-05T15:24:48Z	Ethiopia	chicken carcass	environmental/other	PDS000027970.439	0	15	SAMN03577089	GCA_010976175.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031574	"CFSAN031574","ICOPHAI11594","SRS1210933"	Newport	PDT000105416.2	2016-02-05T15:24:48Z	Ethiopia	bovine caecum	environmental/other	PDS000030876.3	1		SAMN03577107	GCA_008845925.1	mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	CFSAN031559	"CFSAN031559","ICOPHAI11579","SRS1210940"	Kentucky	PDT000105417.2	2016-02-05T15:24:48Z	Ethiopia	swine caecum	environmental/other	PDS000027970.439	0	18	SAMN03577092	GCA_011575845.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031564	"CFSAN031564","ICOPHAI11584","SRS1210938"	Kentucky	PDT000105419.2	2016-02-05T15:24:48Z	Ethiopia	swine liver	environmental/other	PDS000027970.439	0	20	SAMN03577097	GCA_011556035.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031562	"CFSAN031562","ICOPHAI11582","SRS1210962"	Kentucky	PDT000105420.2	2016-02-05T15:24:48Z	Ethiopia	swine carcass	environmental/other	PDS000027970.439	3	19	SAMN03577095	GCA_010874105.1	blaTEM-1=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031572	"CFSAN031572","ICOPHAI11592","SRS1211003"	Newport	PDT000105421.2	2016-02-05T15:24:48Z	Ethiopia	bovine skin	environmental/other	PDS000030876.3	1		SAMN03577105	GCA_008847465.1	mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	CFSAN031557	"CFSAN031557","ICOPHAI11577","SRS1211002"	Kentucky	PDT000105422.2	2016-02-05T15:24:48Z	Ethiopia	bovine meat	environmental/other	PDS000027970.439	4	15	SAMN03577090	GCA_011618845.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031567	"CFSAN031567","ICOPHAI11587","SRS1211001"	Kentucky	PDT000105423.2	2016-02-05T15:24:48Z	Ethiopia	swine liver	environmental/other	PDS000027970.439	0	7	SAMN03577100	GCA_010934235.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031560	"CFSAN031560","ICOPHAI11580","SRS1211000"	Kentucky	PDT000105424.2	2016-02-05T15:24:48Z	Ethiopia	swine caecum	environmental/other	PDS000027970.439	2	18	SAMN03577093	GCA_011659335.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aadA7=PARTIAL_END_OF_CONTIG,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031570	"CFSAN031570","ICOPHAI11590","SRS1210999"	Kentucky	PDT000105425.2	2016-02-05T15:24:48Z	Ethiopia	swine tongue	environmental/other	PDS000027970.439	0	7	SAMN03577103	GCA_010934175.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031565	"CFSAN031565","ICOPHAI11585","SRS1210998"	Kentucky	PDT000105426.2	2016-02-05T15:24:48Z	Ethiopia	swine tongue	environmental/other	PDS000027970.439	1	10	SAMN03577098	GCA_009999425.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN031599	"CFSAN031599","ICOPHAI7659","SRS1217256"		PDT000105428.2	2016-02-05T15:24:48Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577132	GCA_006891995.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031602	"CFSAN031602","ICOPHAI7662","SRS1217255"		PDT000105429.2	2016-02-05T15:24:48Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577135	GCA_006892785.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031600	"CFSAN031600","ICOPHAI7660","SRS1217254"		PDT000105430.2	2016-02-05T15:24:48Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	3		SAMN03577133	GCA_006891955.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031598	"CFSAN031598","ICOPHAI7658","SRS1217257"		PDT000105431.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577131	GCA_006891445.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031627	"CFSAN031627","ICOPHAI7687","SRS1223999"		PDT000105432.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577160	GCA_006893385.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031644	"CFSAN031644","ICOPHAI7704","SRS1223998"		PDT000105433.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	1		SAMN03577177	GCA_006892245.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031634	"CFSAN031634","ICOPHAI7694","SRS1223997"		PDT000105434.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other				SAMN03577167	GCA_006891535.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:l,z13:1,5,serotype=Uganda
Salmonella enterica	CFSAN031630	"CFSAN031630","ICOPHAI7690","SRS1223995"		PDT000105435.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577163	GCA_006892095.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031625	"CFSAN031625","ICOPHAI7685","SRS1224000"		PDT000105436.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577158	GCA_006891485.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031624	"CFSAN031624","ICOPHAI7684","SRS1223993"		PDT000105437.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577157	GCA_006892985.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031635	"CFSAN031635","ICOPHAI7695","SRS1224012"		PDT000105439.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	3		SAMN03577168	GCA_006891565.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031642	"CFSAN031642","ICOPHAI7702","SRS1224011"		PDT000105441.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	1		SAMN03577175	GCA_006892915.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031640	"CFSAN031640","ICOPHAI7700","SRS1224007"		PDT000105442.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	2		SAMN03577173	GCA_006892305.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031633	"CFSAN031633","ICOPHAI7693","SRS1224005"		PDT000105444.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577166	GCA_006893245.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031623	"CFSAN031623","ICOPHAI7683","SRS1224001"		PDT000105446.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577156	GCA_006893305.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031628	"CFSAN031628","ICOPHAI7688","SRS1224016"		PDT000105447.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	1		SAMN03577161	GCA_006893265.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031631	"CFSAN031631","ICOPHAI7691","SRS1224018"		PDT000105448.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	1		SAMN03577164	GCA_006892545.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031626	"CFSAN031626","ICOPHAI7686","SRS1224015"		PDT000105449.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	4		SAMN03577159	GCA_006893045.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031641	"CFSAN031641","ICOPHAI7701","SRS1224013"		PDT000105451.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	3		SAMN03577174	GCA_006892035.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031629	"CFSAN031629","ICOPHAI7689","SRS1224019"		PDT000105452.2	2016-02-05T15:24:49Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	1		SAMN03577162	GCA_006893285.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031694	"CFSAN031694","ICOPHAI7754","SRS1229846"		PDT000105476.2	2016-02-05T15:24:50Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577227	GCA_006892425.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031689	"CFSAN031689","ICOPHAI7749","SRS1229845"		PDT000105477.2	2016-02-05T15:24:50Z	Ethiopia	feces swine	environmental/other	PDS000030872.2	0		SAMN03577222	GCA_006892145.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:d:1,2,serotype=Muenchen
Salmonella enterica	CFSAN031692	"CFSAN031692","ICOPHAI7752","SRS1229844"		PDT000105478.2	2016-02-05T15:24:50Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577225	GCA_006891895.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031697	"CFSAN031697","ICOPHAI7758","SRS1229854"		PDT000105480.2	2016-02-05T15:24:50Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577230	GCA_006892075.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031700	"CFSAN031700","ICOPHAI7761","SRS1229852"		PDT000105482.2	2016-02-05T15:24:50Z	Ethiopia	feces swine	environmental/other	PDS000030867.1	4		SAMN03577233	GCA_005899365.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN031695	"CFSAN031695","ICOPHAI7756","SRS1229858"		PDT000105485.2	2016-02-05T15:24:51Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577228	GCA_006892165.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031690	"CFSAN031690","ICOPHAI7750","SRS1229857"		PDT000105486.2	2016-02-05T15:24:51Z	Ethiopia	feces swine	environmental/other	PDS000030872.2	1		SAMN03577223	GCA_006892965.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:d:1,2,serotype=Muenchen
Salmonella enterica	CFSAN031698	"CFSAN031698","ICOPHAI7759","SRS1229864"		PDT000105488.2	2016-02-05T15:24:51Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	0		SAMN03577231	GCA_006892465.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031693	"CFSAN031693","ICOPHAI7753","SRS1229862"		PDT000105490.2	2016-02-05T15:24:51Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	2		SAMN03577226	GCA_006893365.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031691	"CFSAN031691","ICOPHAI7751","SRS1229861"		PDT000105491.8	2016-02-05T15:24:51Z	Ethiopia	feces swine	environmental/other	PDS000030872.2	3		SAMN03577224	GCA_005899385.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:d:1,2,serotype=Muenchen
Salmonella enterica	CFSAN031701	"CFSAN031701","ICOPHAI7762","SRS1229859"		PDT000105493.2	2016-02-05T15:24:51Z	Ethiopia	feces swine	environmental/other	PDS000030867.1	4		SAMN03577234	GCA_006892645.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN031696	"CFSAN031696","ICOPHAI7757","SRS1229865"		PDT000105494.2	2016-02-05T15:24:51Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	1		SAMN03577229	GCA_006892015.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031767	"CFSAN031767","ICOPHAI16868","SRS1238877"	Virchow	PDT000105538.2	2016-02-05T15:24:53Z	Ethiopia	feces (Bos taurus)	environmental/other	PDS000030852.3	0	0	SAMN03577300	GCA_008831685.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:r:1,2,serotype=Virchow
Salmonella enterica	CFSAN031762	"CFSAN031762","ICOPHAI16862","SRS1238883"	Typhimurium var.copenhagen	PDT000105539.2	2016-02-05T15:24:53Z	Ethiopia	feces (Bos taurus)	environmental/other	PDS000030861.4	0	29	SAMN03577295	GCA_010441795.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN031757	"CFSAN031757","ICOPHAI16857","SRS1238882"	Saintpaul	PDT000105540.2	2016-02-05T15:24:53Z	Ethiopia	feces (Bos taurus)	environmental/other	PDS000030862.1	0	3	SAMN03577290	GCA_010569705.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:e,h:1,2,serotype=Saintpaul
Salmonella enterica	CFSAN031755	"CFSAN031755","ICOPHAI16855","SRS1238880"	Saintpaul	PDT000105542.2	2016-02-05T15:24:53Z	Ethiopia	feces (Bos taurus)	environmental/other	PDS000030862.1	0	3	SAMN03577288	GCA_010553805.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:e,h:1,2,serotype=Saintpaul
Salmonella enterica	CFSAN031765	"CFSAN031765","ICOPHAI16865","SRS1238878"	Typhimurium var.copenhagen	PDT000105544.2	2016-02-05T15:24:53Z	Ethiopia	feces (Bos taurus)	environmental/other				SAMN03577298	GCA_010740115.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN031760	"CFSAN031760","ICOPHAI16860","SRS1238884"	Typhimurium var.copenhagen	PDT000105545.2	2016-02-05T15:24:53Z	Ethiopia	feces (Bos taurus)	environmental/other	PDS000030861.4	0	29	SAMN03577293	GCA_007628745.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN031768	"CFSAN031768","ICOPHAI16869","SRS1238891"	Virchow	PDT000105547.2	2016-02-05T15:24:53Z	Ethiopia	feces (Bos taurus)	environmental/other	PDS000030852.3	1	1	SAMN03577301	GCA_008846505.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:r:1,2,serotype=Virchow
Salmonella enterica	CFSAN031763	"CFSAN031763","ICOPHAI16863","SRS1238890"	Typhimurium var.copenhagen	PDT000105548.2	2016-02-05T15:24:53Z	Ethiopia	feces (Bos taurus)	environmental/other	PDS000030861.4	0	29	SAMN03577296	GCA_010735175.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
