#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica		"2018K-0288A","SRS10140950"	Enteritidis	PDT001129231.1	2021-09-14T03:36:39Z	Uganda		clinical	PDS000065758.667	2	7	SAMN21359574	GCA_020132875.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica		"2018K-0275","SRS10140936"	Enteritidis	PDT001129245.1	2021-09-14T03:36:43Z	Uganda		clinical	PDS000065758.667	2	5	SAMN21359561	GCA_020136895.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	274/67	"274/67","ERS4874470","SAL_BB5498AA"	Fulica	PDT000910135.1	2020-12-12T02:31:14Z	Uganda	human	clinical				SAMEA7113923			antigen_formula=4:a:-,serotype=Fulica
Salmonella enterica		"2018K-0313","SRS10140977"	Typhimurium	PDT001129204.1	2021-09-14T03:36:31Z	Uganda		clinical				SAMN21359599	GCA_019965035.1	aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA1=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica		"2018K-0311","SRS10140976"	Typhimurium	PDT001129206.1	2021-09-14T03:36:32Z	Uganda		clinical				SAMN21359597	GCA_019965015.1		antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica		"2018K-0308","SRS10140973"	Typhimurium	PDT001129209.1	2021-09-14T03:36:33Z	Uganda		clinical				SAMN21359594	GCA_019965055.1		antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica		"2018K-0302","SRS10140964"	Typhimurium	PDT001129216.1	2021-09-14T03:36:35Z	Uganda		clinical				SAMN21359588	GCA_019965075.1		antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica		"2018K-0297","SRS10140960"	Enteritidis	PDT001129221.1	2021-09-14T03:36:36Z	Uganda		clinical				SAMN21359583	GCA_020136335.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica		"2018K-0291","SRS10140953"	Enteritidis	PDT001129228.1	2021-09-14T03:36:38Z	Uganda		clinical				SAMN21359577	GCA_020132895.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA2=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica		"2018K-0287","SRS10140949"	Typhimurium	PDT001129232.1	2021-09-14T03:36:39Z	Uganda		clinical				SAMN21359573	GCA_019964575.1		antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica		"2018K-0278A","SRS10140938"	Enteritidis	PDT001129242.1	2021-09-14T03:36:42Z	Uganda		clinical				SAMN21359564	GCA_020134285.1		antigen_formula=9:g,m:-,serotype=Gallinarum or Enteritidis
Salmonella enterica	FDA1191678-C001-001	"CFSAN123954","FDA1191678-C001-001","FNW19P27","SRS13439416"		PDT001330403.1	2022-06-17T00:49:28Z	Uganda	Soybean Meal	environmental/other				SAMN29152167	GCA_023767695.1		antigen_formula=3,10:y:e,n,z15,serotype=Bolton
Salmonella enterica	FDA955948	"CFSAN055497","FDA00010654","FDA955948","SRS1705775"		PDT000149572.2	2016-09-21T14:19:22Z	Uganda	sesame seed	environmental/other				SAMN05774058	GCA_006033055.1		antigen_formula=30:z10:e,n,z15,serotype=Kumasi
Salmonella enterica	NC_P15-10GX	"CFSAN059593","NC_P15-10GX","SRS1996648"		PDT000189252.2	2017-02-22T22:09:17Z	Uganda	poultry	environmental/other				SAMN06238272	GCA_005988085.1		antigen_formula=16:d:e,n,x,serotype=Barranquilla
Salmonella enterica	6079U	"6079U","6079U-sc-2010-05-07-42482","ERS009038"	Typhimurium	PDT000437040.1	2019-01-14T17:57:15Z	Uganda	blood	clinical				SAMEA788626	GCA_010195065.1		antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	FDA439955-2a	"CFSAN016184","FDA00002619","FDA439955-2a","SRS2474697"	Give	PDT000237301.2	2017-08-29T02:42:25Z	Uganda	sesame seed	environmental/other				SAMN02846003	GCA_009499915.1		antigen_formula=7:l,v:e,n,x,serotype=Bonn
Salmonella enterica	198U	"198U","198U-sc-2010-05-07-42476","ERS009032"	Typhimurium	PDT000437031.1	2019-01-14T17:57:13Z	Uganda	blood	clinical	PDS000041999.97	13	20	SAMEA788776	GCA_010193425.1	aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	146U	"146U","146U-sc-2010-05-07-42489","ERS009045"	Typhimurium	PDT000437047.1	2019-01-14T17:57:17Z	Uganda	blood	clinical	PDS000041999.97	10	17	SAMEA788651	GCA_010198045.1	aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	NC_P03-05GX	"CFSAN059555","NC_P03-05GX","SRS1959687"		PDT000185658.2	2017-02-06T21:33:58Z	Uganda	poultry	environmental/other	PDS000027970.428	2	17	SAMN06240027	GCA_006925335.1	gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-10TB	"CFSAN059557","NC_P03-10TB","SRS1959693"		PDT000185664.2	2017-02-06T21:34:00Z	Uganda	poultry	environmental/other	PDS000027970.428	0	15	SAMN06240025	GCA_006043515.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-12TX	"CFSAN059559","NC_P03-12TX","SRS1959698"		PDT000185669.2	2017-02-06T21:34:01Z	Uganda	poultry	environmental/other	PDS000027970.428	2	17	SAMN06240023	GCA_006105755.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-03GX	"CFSAN059554","NC_P03-03GX","SRS1959705"		PDT000185676.2	2017-02-06T21:34:02Z	Uganda	poultry	environmental/other	PDS000027970.428	1	16	SAMN06240028	GCA_006943585.1	aadA1=COMPLETE,aph(3'')-Ib=PARTIAL,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA14=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-11TX	"CFSAN059558","NC_P03-11TX","SRS1959706"		PDT000185677.2	2017-02-06T21:34:02Z	Uganda	poultry	environmental/other	PDS000027970.428	0	15	SAMN06240024	GCA_006926955.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-07GX	"CFSAN059556","NC_P03-07GX","SRS1959709"		PDT000185680.2	2017-02-06T21:34:03Z	Uganda	poultry	environmental/other	PDS000027970.428	0	15	SAMN06240026	GCA_006105435.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-14TX	"CFSAN059561","NC_P03-14TX","SRS1959710"		PDT000185681.2	2017-02-06T21:34:03Z	Uganda	poultry	environmental/other	PDS000027970.428	0	16	SAMN06240021	GCA_005986125.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-13TX	"CFSAN059560","NC_P03-13TX","SRS1959713"		PDT000185684.2	2017-02-06T21:34:04Z	Uganda	poultry	environmental/other	PDS000027970.428	0	16	SAMN06240022	GCA_005986025.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-16TX	"CFSAN059562","NC_P03-16TX","SRS1959715"		PDT000185686.2	2017-02-06T21:34:04Z	Uganda	poultry	environmental/other	PDS000027970.428	2	17	SAMN06240020	GCA_006943545.1	aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,aph(3'')-Ib=PARTIAL,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,cmlA1=COMPLETE,dfrA14=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,qnrS1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-18TB	"CFSAN059563","NC_P03-18TB","SRS1974315"		PDT000187636.2	2017-02-14T17:40:50Z	Uganda	poultry	environmental/other	PDS000027970.428	0	16	SAMN06240019	GCA_006954985.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	NC_P03-20TX	"CFSAN059564","NC_P03-20TX","SRS1974606"		PDT000187657.2	2017-02-14T17:40:54Z	Uganda	poultry	environmental/other	PDS000027970.428	1	16	SAMN06240018	GCA_006044575.1	aadA1=COMPLETE,blaTEM-1=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul3=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	ILBSalm5484214	"ERS217415","ILBSalm5484214","SAEN2862-sc-2013-02-27T10:30:14Z-1577244"	Enteritidis	PDT000031027.2	2014-05-29T14:23:17Z	Uganda	blood	clinical				SAMEA2053416	GCA_009628755.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,catA2=COMPLETE,tet(A)=COMPLETE	antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	ILBSalm5484217	"ERS217418","ILBSalm5484217","SAEN4582-sc-2013-02-27T10:30:17Z-1577247"	Enteritidis	PDT000031028.2	2014-05-29T14:23:17Z	Uganda	blood	clinical				SAMEA2053417	GCA_010462645.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	ILBSalm5484212	"ERS217413","ILBSalm5484212","SAEN2209-sc-2013-02-27T10:30:12Z-1577242"	Enteritidis	PDT000031051.2	2014-05-29T14:23:21Z	Uganda	feces	clinical				SAMEA2053616	GCA_009620335.1	aph(6)-Id=PARTIAL_END_OF_CONTIG,blaTEM-1=COMPLETE,catA2=COMPLETE,tet(A)=COMPLETE	antigen_formula=9:g,m:-,serotype=- 9:g,m:-
Salmonella enterica	ILBSalm5484210	"ERS217411","ILBSalm5484210","SAEN1975-sc-2013-02-27T10:30:09Z-1577240"	Enteritidis	PDT000031085.2	2014-05-29T14:23:26Z	Uganda	blood	clinical				SAMEA2054426	GCA_010657205.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	FDA283542	"CFSAN014223","FDA00000658","FDA283542","SRS726938"		PDT000041218.2	2014-10-23T14:50:44Z	Uganda	perch fillet	environmental/other				SAMN02844043	GCA_006853185.1		antigen_formula=7:b:z6,serotype=Leopoldville
Salmonella enterica	YA00108132	"ERS4936824","SAL_BB3330AA","YA00108132"	Typhi	PDT000911988.1	2020-12-12T05:31:54Z	Uganda	Human, Stool	clinical	PDS000002867.904	6	16	SAMEA7176386		gyrA_S83Y=POINT	antigen_formula=-:d:-,serotype=I -:d:-
Salmonella enterica	YA00108145	"ERS4936828","SAL_BB3336AA","YA00108145"	Typhi	PDT000911992.1	2020-12-12T05:31:56Z	Uganda	Human, Stool	clinical	PDS000002867.904	1	15	SAMEA7176390		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00108140	"ERS4936830","SAL_BB3333AA","YA00108140"	Typhi	PDT000911994.1	2020-12-12T05:31:57Z	Uganda	Human, Stool	clinical	PDS000002867.904	7	19	SAMEA7176392		gyrA_S83Y=POINT	antigen_formula=-:d:-,serotype=I -:d:-
Salmonella enterica	YA00108141	"ERS4936832","SAL_BB3335AA","YA00108141"	Typhi	PDT000911996.1	2020-12-12T05:31:57Z	Uganda	Human, Stool	clinical	PDS000002867.904	5	12	SAMEA7176394		gyrA_S83Y=POINT	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00108143	"ERS4936833","SAL_BB3334AA","YA00108143"	Typhi	PDT000911997.1	2020-12-12T05:31:57Z	Uganda	Human, Stool	clinical	PDS000002867.904	1	13	SAMEA7176395		gyrA_S83Y=POINT	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00108138	"ERS4936935","SAL_BB3332AA","YA00108138"	Typhi	PDT000912099.1	2020-12-12T05:32:32Z	Uganda	Human, Stool	clinical	PDS000002867.904	3	15	SAMEA7176498		gyrA_S83Y=POINT	antigen_formula=2:d:-,serotype=I 2:d:-
Salmonella enterica	YA00108142	"ERS4937076","SAL_BB3340AA","YA00108142"	Typhi	PDT000912233.1	2020-12-12T05:33:13Z	Uganda	Human, Stool	clinical	PDS000002867.904	2	14	SAMEA7176639		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=-:d:-,serotype=I -:d:-
Salmonella enterica		"2015EL-1255","SRS10140987"	Typhi	PDT001129194.1	2021-09-14T03:36:28Z	Uganda		clinical	PDS000002867.904	0	12	SAMN21359550	GCA_020182275.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2015EL-1254","SRS10140986"	Typhi	PDT001129195.1	2021-09-14T03:36:29Z	Uganda		clinical	PDS000002867.904	1	13	SAMN21359549	GCA_020182215.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2015EL-1253","SRS10140985"	Typhi	PDT001129196.1	2021-09-14T03:36:29Z	Uganda		clinical	PDS000002867.904	0	12	SAMN21359548	GCA_020182455.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2018K-0316","SRS10140981"	Typhi	PDT001129200.1	2021-09-14T03:36:30Z	Uganda		clinical	PDS000002867.904	9	17	SAMN21359602	GCA_020134485.1	gyrA_S83Y=POINT	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2015EL-1252","SRS10140979"	Typhi	PDT001129202.1	2021-09-14T03:36:31Z	Uganda		clinical	PDS000002867.904	0	12	SAMN21359547	GCA_020182555.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2018K-0314","SRS10140978"	Typhi	PDT001129203.1	2021-09-14T03:36:31Z	Uganda		clinical	PDS000002867.904	0	15	SAMN21359600	GCA_020134505.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2018K-0312","SRS10140975"	Typhi	PDT001129205.1	2021-09-14T03:36:32Z	Uganda		clinical	PDS000002867.904	9	16	SAMN21359598	GCA_020132955.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2018K-0309","SRS10140972"	Typhi	PDT001129208.1	2021-09-14T03:36:33Z	Uganda		clinical	PDS000002867.904	0	15	SAMN21359595	GCA_020136135.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,aph(6)-Id=PARTIAL_END_OF_CONTIG,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE,sul2=PARTIAL_END_OF_CONTIG	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2018K-0307","SRS10140970"	Typhi	PDT001129210.1	2021-09-14T03:36:33Z	Uganda		clinical	PDS000002867.904	9	16	SAMN21359593	GCA_020132975.1	gyrA_S83Y=POINT	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2018K-0306","SRS10140971"	Typhi	PDT001129211.1	2021-09-14T03:36:33Z	Uganda		clinical	PDS000002867.904	3	13	SAMN21359592	GCA_020134525.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2018K-0305","SRS10140969"	Typhi	PDT001129212.1	2021-09-14T03:36:34Z	Uganda		clinical	PDS000002867.904	3	13	SAMN21359591	GCA_020136375.1	gyrA_S83Y=POINT	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2015EL-1251","SRS10140968"	Typhi	PDT001129213.1	2021-09-14T03:36:34Z	Uganda		clinical	PDS000002867.904	0	12	SAMN21359546	GCA_020182235.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2018K-0303","SRS10140965"	Typhi	PDT001129215.1	2021-09-14T03:36:35Z	Uganda		clinical	PDS000002867.904	3	14	SAMN21359589	GCA_020136415.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2018K-0301","SRS10140966"	Typhi	PDT001129217.1	2021-09-14T03:36:35Z	Uganda		clinical	PDS000002867.904	0	11	SAMN21359587	GCA_020134565.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2018K-0300","SRS10140963"	Typhi	PDT001129218.1	2021-09-14T03:36:35Z	Uganda		clinical	PDS000002867.904	0	11	SAMN21359586	GCA_020134445.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,dfrA7=PARTIAL_END_OF_CONTIG,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2015EL-1250","SRS10140959"	Typhi	PDT001129224.1	2021-09-14T03:36:37Z	Uganda		clinical	PDS000002867.904	1	13	SAMN21359545	GCA_020182435.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2018K-0290","SRS10140952"	Typhi	PDT001129229.1	2021-09-14T03:36:39Z	Uganda		clinical	PDS000002867.904	1	14	SAMN21359576	GCA_020134425.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica		"2015EL-1249","SRS10140946"	Typhi	PDT001129235.1	2021-09-14T03:36:40Z	Uganda		clinical	PDS000002867.904	2	14	SAMN21359544	GCA_020186495.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2015EL-1248","SRS10140935"	Typhi	PDT001129246.1	2021-09-14T03:36:43Z	Uganda		clinical	PDS000002867.904	0	12	SAMN21359543	GCA_020182255.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2015EL-1261","SRS10140930"	Typhi	PDT001129251.1	2021-09-14T03:36:44Z	Uganda		clinical	PDS000002867.904	1	13	SAMN21359556	GCA_020182475.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2015EL-1260","SRS10140928"	Typhi	PDT001129252.1	2021-09-14T03:36:45Z	Uganda		clinical	PDS000002867.904	0	12	SAMN21359555	GCA_020182175.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2015EL-1259","SRS10140929"	Typhi	PDT001129253.1	2021-09-14T03:36:45Z	Uganda		clinical	PDS000002867.904	0	12	SAMN21359554	GCA_020182155.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2015EL-1258","SRS10140927"	Typhi	PDT001129254.1	2021-09-14T03:36:45Z	Uganda		clinical	PDS000002867.904	0	12	SAMN21359553	GCA_020203435.1	gyrA_S83Y=POINT	antigen_formula=-:-:-,serotype=I -:-:-
Salmonella enterica		"2015EL-1257","SRS10140926"	Typhi	PDT001129255.1	2021-09-14T03:36:46Z	Uganda		clinical	PDS000002867.904	1	13	SAMN21359552	GCA_020191645.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=-:-:-,serotype=I -:-:-
